,yearsActive,activeYearsStartYear,activeYearsEndYear
Ahmed_Abdul_Malik,,1950,1960
Benny_Golson,,,
Joe_Henderson,1955,1955,1955
Arturo_Sandoval,1977,1977,2022
Joe_Morris_(trumpeter),1942,1942,1958
Kenny_Garrett,1978,1978,2022
Frank_Lloyd_(horn_player),,,
Esperanza_Spalding,2000,2000,2022
Art_Blakey,1942,1942,1990
Sting_(musician),1971,1971,2022
Karriem_Riggins,1990,1990,1990
Charlie_Barnet,1932,1932,1967
Wayne_Shorter,1958,1958,2021
Shannon_Powell,1970,1970,2022
Mulgrew_Miller,1970,1970,2013
Frank_McComb,1990,1990,2022
Clifford_Brown,1949,1949,1956
Veronica_Swift,2004,2004,2022
Buster_Williams,1959,1959,2022
Elvin_Jones,1948,1948,2004
Maynard_Ferguson,1939,1939,1939
Lionel_Hampton,1927,1927,2002
Count_Basie,1924,1924,1984
Lenny_Kravitz,1981,1981,2022
Victor_Goines,1980,1980,2022
Eric_Clapton,1962,1962,2022
Dianne_Reeves,1976,1976,2022
Terri_Lyne_Carrington,1983,1983,2022
Alexa_Tarantino,,,
Charlie_Haden,1957,1957,2014
Larry_Willis,1965,1965,2019
Gary_Numan,1977,1977,2022
Lee_Morgan,1956,1956,1972
Kevin_Eubanks,1982,1982,2022
Horace_Silver,1946,1946,2004
The_Clayton_Brothers,,1977,2022
Gary_Moore,1968,1968,2011
Buddy_Guy,1953,1953,2022
Jackson_Browne,1966,1966,2022
Willie_Nelson,1956,1956,2022
Ray_Charles,1947,1947,2004
Randy_Sandke,1968,1968,2022
Ray_Mantilla,1950,1950,2020
Rodney_Whitaker,,,
Jack_DeJohnette,1961,1961,2022
Duke_Ellington,1914,1914,1974
Winard_Harper,1980,1980,2022
Charles_Mingus,1943,1943,1979
Kenny_Kirkland,1973,1973,1998
Terence_Blanchard,1982,1982,2022
Paul_Bley,,,
Jann_Arden,1992,1992,2022
Richard_Johnson_(pianist),1995,1995,2022
Flora_Purim,1960,1960,2022
James_Morrison_(jazz_musician),1983,1983,2022
Keb'_Mo',1970,1970,2022
Mousey_Alexander,-1980,1940,1980
Benny_Green_(pianist),,,
Natalie_Cressman,2010,2010,2022
Al_Foster,1960,1960,2022
Tony_Williams_(drummer),1961,1961,1997
Reggie_Workman,,,
Betty_Carter,1948,1948,1998
Saskia_Laroo,,,
Eric_Revis,1990,1990,2022
Oliver_Jones_(pianist),1940,1940,2022
Dee_Dee_Bridgewater,1966,1966,2022
Robert_M._Rucker,1994,1994,2022
Nine_Inch_Nails,1988,1988,2022
Germaine_Bazzle,,,
Bo_Stief,,,
Doug_Watkins,1950,1950,1962
Jeff_Beck,1964,1964,2022
Jackie_McLean,1951,1951,2004
Bob_Cranshaw,,,
Woody_Herman,,,
Donald_Byrd,1954,1954,2013
Harry_Sokal_(musician),1974,1974,2022
McCoy_Tyner,1960,1960,2020
Candy_Dulfer,1981,1981,2022
Andreas_Varady,2010,2010,2022
Freddie_Hubbard,1958,1958,2008
Randy_Gelispie,,,
Peter_Bernstein_(guitarist),1990,1990,2022
Quincy_Jones,1951,1951,2022
Dwayne_Dolphin,,,
Igor_Butman,1976,1976,2022
Don_Friedman,,,
Joshua_Redman,,,
Roy_Hargrove,1987,1987,2018
Paul_Young,1978,1978,2022
Richard_Davis_(bassist),1940,1940,2022
Orrin_Keepnews,1952,1952,2015
Dizzy_Gillespie,1935,1935,1993
Eddie_Harris,,,
Kenny_Dorham,,,
Oscar_Peterson,1945,1945,2007
B.B._King,1942,1942,2014
Ben_Wolfe,1978,1978,2022
